# form: atausiulugu 
# COL1: morphological segmentation, COL2: morphological glosses 
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-1s-3s-fut}	{one}{existence; is}{part. future: while I \...him/her/it}  
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-2s-3s-fut}	{one}{existence; is}{part. future: while you \...him/her/it}    
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-4s-3s-fut}	{one}{existence; is}{part. future: while he/she/it \...him/her/it}  
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-1d-3s-fut}	{one}{existence; is}{part. future: while we (two) \...him/her/it}   
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-2d-3s-fut}	{one}{existence; is}{part. future: while you (two) \...him/her/it}  
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-4d-3s-fut}	{one}{existence; is}{part. future: while they (two) \...him/her/it} 
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-1p-3s-fut}	{one}{existence; is}{part. future: while we (many) \...him/her/it}  
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-2p-3s-fut}	{one}{existence; is}{part. future: while you (many) \...him/her/it} 
{atausi:atausiq/1n}{u:u/1nv}{lugu:lugu/tv-part-4p-3s-fut}	{one}{existence; is}{part. future: while they (many) \...him/her/it}    
{atausi:atausiq/1n}{u:u/1nv}{lu:luk/3vv}{gu:guk/tv-imp-2s-3s}	{one}{existence; is}{to perform an action in a poor or bad  manner}{order: you \...him/her/it}  
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-1s-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while I \...him/her/it}  
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-2s-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while you \...him/her/it}    
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-4s-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while he/she/it \...him/her/it}  
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-1d-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while we (two) \...him/her/it}   
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-2d-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while you (two) \...him/her/it}  
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-4d-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while they (two) \...him/her/it} 
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-1p-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while we (many) \...him/her/it}  
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-2p-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while you (many) \...him/her/it} 
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lugu:lugu/tv-part-4p-3s-fut}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{part. future: while they (many) \...him/her/it}    
{ata:ata/1n}{u:u/1nv}{si:siq/2vn}{u:u/1nv}{lu:luk/3vv}{gu:guk/tv-imp-2s-3s}	{bottom}{existence; is}{custom; way; habit; manner of doing s.t.}{existence; is}{to perform an action in a poor or bad  manner}{order: you \...him/her/it}  
{ata:ata/1n}{u:u/1nv}{si:si/2vv}{u:uq/3vv}{lu:luk/3vv}{gu:guk/tv-imp-2s-3s}	{bottom}{existence; is}{the action is being done now, where it was not the case before; readiness, commencement of action or    motion}{frequentative: many subjects; many objects}{to perform an action in a poor or bad manner}{order: you \...him/her/it}    
{ata:ata/1n}{u:ut/2nn}{si:liq/2nv}{u:uq/3vv}{lu:luk/3vv}{gu:guk/tv-imp-2s-3s}	{bottom}{bag, container for; s.t. which has\...}{to provide, supply; to put s.t. (trans.: to, on s.o.)}{frequentative: many subjects; many objects}{to perform an action in a poor or bad manner}{order: you \...him/her/it}    
{ata:ata/1n}{u:u/1nv}{si:siq/1vv}{u:uq/3vv}{lu:luk/3vv}{gu:guk/tv-imp-2s-3s}	{bottom}{existence; is}{to put or bring out, to be put or brought up for some natural process; to be waiting for an action to be performed or completed}{frequentative: many subjects; many objects}{to perform an action in a poor or bad manner}{order: you \...him/her/it}   
